time,ghi,DNI,dhi,Tdry,Tdew,rh,p,wspd,wdir,albedo
0,0,0.0,-9900,10.610361973441664,3.9793588121833334,30.04293918611667,992.7999877929998,1.8734141091416667,86.10357005395832,-9900
3600,0,0.0,-9900,10.50486159325,3.940298755966667,30.04400459927501,992.7999877929998,0.8510352075083333,62.50079854330833,-9900
7200,0,0.0,-9900,9.657993793483334,3.2876871625583335,30.053547700250007,992.7999877929998,0.012208818458333333,114.93392944335835,-9900
10800,0,0.0,-9900,7.949413418766667,2.052678952616667,30.055035432183335,992.7999877929998,0.36274255440000003,157.77806218465832,-9900
14400,0,0.0,-9900,7.283899227791667,1.497491478925,30.04689693451667,992.7999877929998,0.32241988181666664,76.57601475715833,-9900
18000,0,0.0,-9900,7.167196710891665,1.4231459945583333,30.055246512083333,992.7999877929998,0.12909617834166667,51.583027203875,-9900
21600,0,0.0,-9900,6.614783644666666,1.0783607562416666,30.06939458846667,992.7999877929998,2.2918185690999997,73.09590371448336,-9900
25200,0,45.85753313700834,-9900,5.965206265449999,0.533678506825,30.08484077453333,992.7999877929998,0.8715561330416667,129.27086575825834,-9900
28800,0,466.53646341960007,-9900,7.244208931908333,1.5133689070583334,30.09496434529167,992.7999877929998,2.6302792827333334,79.58125527699166,-9900
32400,0,616.1137491862166,-9900,12.977286179858332,5.802058438458334,30.112177689875008,992.7999877929998,0.7678311044999999,140.9205468495833,-9900
36000,0,766.453603108725,-9900,18.000063180916666,9.466794729233333,30.04574410121667,995.4666544596665,1.2051994899833334,172.33712959288331,-9900
39600,0,835.2788492838499,-9900,20.712570667266665,11.434044043224999,30.03188959756667,995.9698689778916,1.1073327809583333,99.81270440419168,-9900
43200,0,863.2300160725835,-9900,24.261082172391667,13.959129492441667,30.092272758475,992.7999877929998,1.2917371491583332,207.22752857208334,-9900
46800,0,907.6677602132082,-9900,26.61193497975,15.623422066374998,30.056386470783337,992.7999877929998,2.328101242575,234.37783273060836,-9900
50400,0,708.9049886067834,-9900,29.918261210125,18.00654204685,30.04145002365833,992.7999877929998,3.0900631547000006,283.4313430786084,-9900
54000,0,676.3107528686584,-9900,31.741372267408327,19.285560290025,30.030712922441666,992.7999877929998,2.122480089458333,156.12813313803332,-9900
