time,ghi,DNI,dhi,Tdry,Tdew,rh,p,wspd,wdir,albedo
0,0,0.0,-9900,10.399892012266664,3.7701995770333334,30.045069376633332,992.799987793,2.599506874866667,149.39733727771667,-9900
1800,0,0.0,-9900,10.820831934616665,4.188518047333333,30.0408089956,992.799987793,1.1473213434166667,22.809802830200002,-9900
3600,0,0.0,-9900,10.799095153816667,4.150632023816667,30.04336579641667,992.799987793,0.2632556359,49.109724044833335,-9900
5400,0,0.0,-9900,10.210628032683333,3.729965488116667,30.04464340213333,992.799987793,1.4388147791166663,75.89187304178334,-9900
7200,0,0.0,-9900,9.904691060383335,3.4794479608500004,30.054641405733335,992.799987793,0.024417636916666666,102.06568527221668,-9900
9000,0,0.0,-9900,9.411296526583332,3.0959263642666666,30.052453994766665,992.799987793,0.0,127.8021736145,-9900
10800,0,0.0,-9900,8.4107166926,2.40708120665,30.058743476866667,992.799987793,0.7128971417833334,163.95652262371667,-9900
12600,0,0.0,-9900,7.488110144933333,1.6982766985833333,30.051327387500006,992.799987793,0.012587967016666667,151.5996017456,-9900
14400,0,0.0,-9900,7.414049069116667,1.6137958367666665,30.045598348,992.799987793,0.0,113.93784141541666,-9900
16200,0,0.0,-9900,7.153749386466667,1.3811871210833333,30.048195521033332,992.799987793,0.6448397636333333,39.2141880989,-9900
18000,0,0.0,-9900,7.401785055783333,1.5895410577666667,30.044361114499996,992.799987793,0.25819235668333335,46.10326385496666,-9900
19800,0,0.0,-9900,6.932608366,1.2567509313499998,30.06613190966667,992.799987793,0.0,57.062790552783326,-9900
21600,0,0.0,-9900,6.642128547033333,1.1224546531833333,30.066523869800005,992.799987793,2.7745903333000004,67.32269350685,-9900
23400,0,0.0,-9900,6.587438742299999,1.0342668593,30.072265307133335,992.799987793,1.8090468048999997,78.86911392211667,-9900
25200,0,0.0,-9900,6.4587041537,0.9002185314999999,30.073562939949994,992.799987793,0.35305746396666665,132.23584747313336,-9900
27000,0,91.71506627401668,-9900,5.4717083772,0.16713848215000002,30.09611860911667,992.799987793,1.3900548021166665,126.30588404338333,-9900
28800,0,394.58206176758335,-9900,6.129107872633333,0.6711578418666667,30.09689712525,992.799987793,2.8886569738333336,79.91832669575,-9900
30600,0,538.4908650716167,-9900,8.359309991183332,2.35557997225,30.093031565333337,992.799987793,2.3719015916333333,79.24418385823333,-9900
32400,0,604.7858988444,-9900,11.417860031116666,4.666218797349999,30.105871200566668,992.799987793,1.0292031218666666,138.92204666138332,-9900
34200,0,627.4415995280334,-9900,14.536712328599998,6.937898079566666,30.11848417918333,992.799987793,0.5064590871333333,142.91904703778334,-9900
36000,0,718.7799173990834,-9900,17.054394880916664,8.789052168533333,30.078930854816672,994.1333211263333,0.9458908239833334,241.35762532551666,-9900
37800,0,814.1272888183667,-9900,18.945731480916667,10.144537289933332,30.012557347616667,996.799987793,1.4645081559833333,103.31663386025001,-9900
